RowId,TypKarty,TxnKod,TxnData,TxnCzas,DataPrzetw,CTLS,PIN,CB,ProductID,MC_Card_Program,MC_GCMS_Program,MC_Product_Class,PEM,MOTO,TypeClass,TypePayment,Region,Country,anon_MID,anon_POS_ID,anon_NrKarty,anon_AuthKod,anon_Kwota,anon_Interchange,anon_MSC,anon_FlatFee,anon_CashAmount,PartnerId,Status,ModifiedDate,CreatedDate,MCC,LocCity,LocZipCode,CorCity,CorZipCode,CASHBACK_A,DCCMarkup,DCCRebate,anon_Eid,anon_ContractEid,anon_Name,MCC_Code,MCC_VISA_report_name,Code,ZipCode,Lat,Lon,ZipCodeLoc
15596,V,2012,20180801,202524,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,f9360cbe67b068d631ec9c1234e960e4,55ca7ba317ff0f78b298b2784bf35af4,7efbc5b2a7a0e2b8682535ccd0d1bbfe,JZYILB,14.38,-0.03,1.00,0.00,0.00,1,1,2017-07-19,2011-12-14,5411,Warszawa (Wola),01377,KRAKÓW,30347,0,350,1.000,f9360cbe67b068d631ec9c1234e960e4,4623053ff6f2af0f8061557e2776e60a,38c9c10801438f94388143480cc02586,5411,Supermarket,22,01-377,52.2196891964885,20.9180283082746,01377
15639,V,2012,20180801,193711,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,dc0f9f8ae7c682ccf535cb0add3e8e16,5d2bffde9198c5dbf97669c8de5963f4,236f09a8977b185268cdb913ed0d9481,GMEIHP,7.28,-0.02,1.00,0.00,0.00,1,1,2016-03-22,2011-07-29,5499,Warszawa (Praga-Południe),03906,WARSZAWA,02906,0,350,1.000,dc0f9f8ae7c682ccf535cb0add3e8e16,e87d6406ae8b3da3a7ca5c32e74ba4e2,6c03948b9e6de1d2d01bc322a56740a2,5499,Food & Drink,9,03-906,52.233137733199,21.0548189564233,03906
15677,V,2012,20180801,205446,20180801,0,1,0,F,NULL,NULL,NULL,05,NULL,I,D,P,PL,1c48bce66809eef2600c65fffcf1f414,0c9495991adfb87f0966b22a23e31d19,1940dd61d05b9532297e8c6a78b7c0c9,XOOUXA,64.00,-0.13,1.00,0.00,0.00,1,1,2017-09-12,2017-05-23,5691,Warszawa (Białołęka),03144,Warszawa (Śródmieście),00120,0,350,2.000,1c48bce66809eef2600c65fffcf1f414,60678463f40f841515c76c98b342a93b,a85e7afcfddd2d1f69a043e8d5f5a26d,5691,Clothing,5,03-144,52.3268547446784,20.9468823667982,03144
15689,V,2012,20180801,124525,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,ae0b44ac765f3961292fc763f981e9ae,d47e94950b647ba442801fdec721f96a,3e64e681c474f2b1a200f328b6eb23db,UCRKCJ,23.80,-0.05,1.00,0.00,0.00,1,1,2017-07-19,2011-12-13,5411,Warszawa (Bemowo),01460,KRAKÓW,30347,0,350,1.000,ae0b44ac765f3961292fc763f981e9ae,4623053ff6f2af0f8061557e2776e60a,c470f39bd8398d61ffe6caf44cad8053,5411,Supermarket,22,01-460,52.2409894222006,20.9172126101842,01460
15716,V,2012,20180801,155409,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,33a95ccf586d374a8f06aa04c6995513,907516e068022a452a5ccdc8ae362281,0b0d49274968ae80f3795ec1d8e36ada,HCSVCD,113.74,-0.22,1.00,0.00,0.00,1,1,2017-07-19,2012-08-31,5541,Warszawa (Praga-Północ),03429,KRAKÓW,30347,0,350,1.000,33a95ccf586d374a8f06aa04c6995513,4623053ff6f2af0f8061557e2776e60a,124d1643df39d10ae42d3556353f1e78,5541,Petrol,18,03-429,52.2619391784332,21.0450037875687,03429
15787,V,2012,20180801,191658,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,d326f6bf50516c95476686a538223c5a,a5fe254467fc93d194cf636714b19d02,65ddd778db85acc25f72810ff89f142d,XHXMOY,16.34,-0.03,1.00,0.00,0.00,1,1,2016-11-14,2016-11-08,5499,Warszawa (Wesoła),05075,Pilawa,08440,2,350,2.000,d326f6bf50516c95476686a538223c5a,56ca33d949f98300a6b8dc767755897c,0e7af7040a18d823839ec5e0dd566035,5499,Food & Drink,9,05-075,52.2470427379142,21.2105076230116,05075
10260,V,2012,20180801,102003,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,48457bdc57dd3e3a7ea8112bda123a88,7f038341350d171cd352fb5157ad6829,78739c787859f4bf1be7164ef7c9de3c,KYXCEQ,23.98,-0.05,1.00,0.00,0.00,1,2,2016-03-22,2011-03-14,5499,Warszawa (Białołęka),03287,SULEJÓWEK,05070,0,350,1.000,48457bdc57dd3e3a7ea8112bda123a88,f730fcc447be0e4fca503ed99b75c419,7e670634d8f06d7c0567a7d5412b28e9,5499,Food & Drink,9,03-287,52.3244823738483,21.0660179976069,03287
15311,V,2012,20180801,181643,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,0dc083932ae9fc4e8c11bb40116dd248,5eff1403c5a1f7318ae72ab54869d7cf,d3b445472e8b31c8535f696321a6171b,JKRWQN,15.96,-0.03,1.00,0.00,0.00,1,1,2017-07-19,2016-02-16,5411,Warszawa (Bemowo),01460,KRAKÓW,30347,0,350,1.000,0dc083932ae9fc4e8c11bb40116dd248,4623053ff6f2af0f8061557e2776e60a,70f3e4fef05a05cb933c1876973d4f79,5411,Supermarket,22,01-460,52.2409894222006,20.9172126101842,01460
15325,V,2012,20180801,103537,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,398193aeef0d999bd2390e59d59eda04,8a1f0b43d22a914951d9336d59bee2de,b3fcc7aafc1f90fcfaa213b0816097da,QNFWEV,39.56,-0.08,1.00,0.00,0.00,1,1,2017-07-19,2012-09-06,5541,Warszawa (Bemowo),01460,KRAKÓW,30347,0,350,1.000,398193aeef0d999bd2390e59d59eda04,4623053ff6f2af0f8061557e2776e60a,124d1643df39d10ae42d3556353f1e78,5541,Petrol,18,01-460,52.2409894222006,20.9172126101842,01460
15544,V,2012,20180801,162426,20180801,1,1,0,F,NULL,NULL,NULL,07,NULL,I,D,P,PL,a9505a1abf84550629ee9d90704b9f5b,3e6a9dc0c684d3957731aba9aefd5b9b,1198c7abe5f05b1e748fc5c512811e26,IUGZHD,9.92,-0.02,1.00,0.00,0.00,12,2,2016-03-29,2016-03-29,5499,Warszawa (Włochy),02421,Warszawa (Włochy),02421,0,350,1.000,a9505a1abf84550629ee9d90704b9f5b,7dd4fe3954f3aea50091774c611c4595,f3c406cca11f339c068168a9819b7b52,5499,Food & Drink,9,02-421,52.2084687120439,20.9016103341968,02421
