PartnerId,Status,ModifiedDate,CreatedDate,BigIdea,LocCity,LocZipCode,CorCity,CorZipCode,anon_Eid,anon_AgreementNumber,anon_Regon,anon_Nip,anon_Name
1,1,2018-08-27,2018-08-24,True,Bielsko-Biała,43300,Bielsko-Biała,43300,62eef399dd296c912f809d5022a463b7,7c4386958b424c97687e74a55bd01fd2,65d3e1195f0ffeea1b9475b4d7685d29,b6b577277d19f3092e80d65b5ed4ae88,10b647f4426d3e374f0f98cdea7b4933
1,1,2018-08-27,2018-08-24,True,Jędrzejów,28300,Jędrzejów,28300,0ccffecf19d4bf12f861949e165a7074,cd92ebde0939a13743222b52a02bec72,d4fc022afb831b2801c7d09e83f783c6,f705068ccc36b29b6e8a52b8b3bf356d,718cefec7dbbedad41561650bc448e71
1,1,2018-08-24,2018-08-24,True,Grudziądz,86300,Grudziądz,86300,180802c39db8655e082a65a6b70bed43,02fc46aee18ff571d18192704a9bb3f6,3436162e3f6353b9c7da582685f583c2,f10a06f95ba5e24d8924d2241ef20bb5,67a7aaaad4d7e5bd1ed83e3e030f2b64
1,1,2018-08-27,2018-08-24,True,Pabianice,95200,ŁASK,98100,054ccb80c360a6c7f00db5e78d61982c,a21114b2e0ab98fd5e37aaedbd68456b,e8593dd3602c39a6d82b5ba84703f1b6,d061b1ee225ce2c33f9ddf28a2c8d95f,574204c84844f5dcc90b652f854091db
1,1,2018-08-27,2018-08-24,True,Lębork,84300,Lębork,84300,dfd440bb8a42ba9e8211b5bb6870626a,9cf116b151054d687b826cbe887eea18,3a4e8a9ff359de78465c2a30984a5019,532a95c89358868de917376d853b7740,accb745c838600e648314ec3207b1ff7
1,1,2018-08-24,2018-08-23,True,Siemiatycze,17300,SIEMATYCZE,17300,d878e28ee8b00b18687ddd9ab82ec83d,c8330e330c1218c1cbe161e9108d1a14,a1f32c1d1158e389be8da5720193e47e,2c027e82530c58e97ecffdf0462e55e8,8bc142cef7ee55b6306fb61c89ce6293
12,1,2018-08-24,2018-08-24,False,Sopot,81808,Sopot,81808,ce3fe414c733551d234a448b7a5e5b1a,4bbc90d017057db1902a5786e3f0e2e6,1a7d89bfb2ec8e9628d86d3bd2765e46,7af239b4154f843555e40d45f6ca39ce,538efec4b4414fb37d13f186852df20f
1,1,2018-08-27,2018-08-27,False,Bieżuń,09320,Bieżuń,09320,6c9b356787ee52c43bc99a2e41e9bf83,6b7d9facb43bda1547c63faaab05eeb1,9124b3ade46acd42606bde872fdb365b,f121a8949e5fcacf7726d7cf333b1ee8,49d49b2c59a51cd0b85d2926c15cd7a1
1,1,2018-08-27,2018-08-27,True,Zgierz,95100,Zgierz,95100,2c905196b4b6ec246aaf1f58c1b572d0,c6684f185dd6ae06be2cf69b6f885c01,eb71334a376fbb591da0a186b266e8cd,b93685600f6bedbed48ade85487cf87b,66daea862a8b5e6022db3b575c38548a
1,1,2018-08-27,2018-08-27,True,Myszyniec,07430,Myszyniec,07430,2181ee5822d7c985634f720562d6a0c3,b07db0f99d79babe227b2e34088f84c8,82d272cbaca937def990fee3622b8478,51d79e7405313406df13bef196a21387,0fc2987902daac4fa7c8ce3aef4bdf51
1,1,2018-08-27,2018-08-27,True,Rybnik,44207,Rybnik,44207,6a1918edaaf498b948c0fff4588c8396,b92be69b3e7ef9c0a3626a182b561f4e,94a5ac60da20223f15ab96043e949174,bfcac5157929bb45e42067c84db43da8,e37803f5c0603641ca8b404574abace2
1,1,2018-08-27,2018-08-27,True,Iłowo-Osada,13240,Iłowo-Osada,13240,708af2d237f8f6213b7a4056543387de,a63c03fe8c0da7a3bc437ec3478dd261,be807dfcdef618666eadce1fa446f18a,a6b79c06d7ecdc21c86d3ff2ce4b7144,aa7fad9d7b864f304f9dad2693ae51aa
1,1,2018-08-27,2018-08-27,True,Szamotuły,64500,Szamotuły,64500,0140493f8742776d8ec491b1ad9c0f10,e6edc646f8a222ecd957b111983f17e7,f353e03bd61b14e0dc35b2121ef8afbc,26437af597182720cf0ae6f50994be48,7c1a9cef565ad5c29d7d66eb4c17b872
1,1,2018-08-27,2018-08-27,True,Białystok,15540,Białystok,15540,e831ca40a2093bf4e265116c59fae019,8d8515ce0af377f9439632fd8dd2d67f,332565fe4f700ebffeaff885b355e946,47255f6ad07c647bbcc9ac249899db10,930cf3232c7cc4323453e06b65cd61cc
1,1,2018-08-27,2018-08-27,True,Wadowice,34100,Wadowice,34100,93f3470151f1d73d9fde2834d64b5768,2516a0c4e5e34f7158a220efad739c06,a802d785592d23d7b0a3e63cb71adff6,94ca49db72ed1718d4483b174de961d7,96275b9648f93abd764e6c1e5a6372b5
1,1,2018-08-27,2018-08-27,False,Rybnik,44253,Rybnik,44253,ade00635681b8658771426d191d2a33a,a28c24b665a58044ff9d73ca19e9e4a8,a29f97d4760e43203fdfbc721b236ef4,5cb1c43ce16fdf09ce15991b644ff01f,12260907a57e14d34977801f083593ef
1,1,2018-08-27,2018-08-27,True,Smardzewice,97213,Smardzewice,97213,db71ed783b60b4ec1f6f3d8d82bd77fd,19eb9460822b3038fbc45777827ac414,04edbcd2637c907d8c5c77c77b294077,778085ba7610fb193f73e229ef7a0cf8,b2555ea2ec8ffa67ba9988c66e5a058c
1,1,2018-08-27,2018-08-27,True,Warszawa (Wawer),04563,Warszawa (Wawer),04563,c1811d329ebc931ae81cde91aa48a20d,312df9e856ee62ea266a8926b924fe28,6928f85145ba77a4e9ddda3d4be86e95,27e358b4265d5b8bef4baa373c5cced8,e7199c2a66d2cefc17904bcd81545f35
1,1,2018-08-27,2018-08-27,True,Krzeszowice,32065,Krzeszowice,32065,fe18cf8fe6c5c59eb8585916ddf4e284,c9adf563a94eb7881c54f25d4092bb88,c2dec44e860379cc4b9f41e3dd72a762,3364e947d084d70cbc39bd17058a9623,2e990f9952ec7dda95d7aef53cd0237d
1,1,2018-08-27,2018-08-27,True,Tomaszów Mazowiecki,97200,Tomaszów Mazowiecki,97200,b04e4b70dcd7715060b1c9ff77e4a769,1cb90c839cf641b38b745e45f0bb48aa,d4d1ef402860cf0543b49e2d35be8bae,9fcaf3c214c96b542300aef88cd78ba8,45263f430e337dcd15e80b52c188b089
1,1,2018-08-29,2018-08-27,True,Tarnobrzeg,39400,Tarnobrzeg,39400,8892dd8ef4c605c09653450d22d49afc,45cc2c0acb052e741d8536f7fae02b13,f87e596751bafb3934310df5686f10b4,8f9567f971b64c45e1fed0ddbab85b98,1b6519f5aa0ffafddf25b61e4cb8d520
1,1,2018-08-27,2018-08-27,True,Jarosław,37500,Jarosław,37500,b6821c786171bc3b96cd52ecae7b50c9,5acff56387a31ce9e8444b9e9db944aa,4676f87668cdce8220bc3f70f06b5767,851bf4df2ce1108950ee621d49b8c903,8513eb74962137e920df4c0e8c185451
1,1,2018-08-27,2018-08-27,True,Twarda,97213,SMARDZEWICE,97213,116ecd6426e9086f0a398b1b67bd0022,8972f32ec24660587e19213831489d6f,2c42199ce1a97f515171cdcc18edafdc,254f3f23c9e8dd98bc5235a31872120d,bea73e858291d0d6afcb96632aa55d0a
1,1,2018-08-27,2018-08-27,True,Międzyrzecz,66300,Międzyrzecz,66300,c614d83282ba7b06a4abbe0c4a41751f,bae4c5162b05585567eb3ccf57bcff06,64377c3bc48f9df3d1204339e19a912c,a458dd57838f3e94cc6a3b26669d2921,fe7599d8798a29df086b031e2a4b0b08
1,1,2018-08-27,2018-08-27,True,Tomaszów Lubelski,22600,Tomaszów Lubelski,22600,39363f30f54ac34a9f14a278831e359a,91eb3d598a351e731dcf8f299d69213f,762a316fb632552b6ab7dd0de9e224b2,61803bc4087a87dda8dd1d0e9269df77,476bc51ef6a838a349e16e0d9cfd86ba
1,1,2018-09-06,2018-09-06,True,Bełżyce,24200,Bełżyce,24200,b9f6448513a08f073d3fbc017a3fe6c2,fd071067637e3a23e3644922d296b3ae,3dc2bf45a5f8e224164ba33ceac8ed29,85d74791282c4da9b9513fa049a3d35c,9784603ac3c39910fa2c530d139b8d32
1,1,2018-09-06,2018-09-06,True,Tomaszowo,68114,Tomaszowo,68114,61ec0b7fa9cb0302c54636e7efa2fee4,c30205ce2144c89c3d030dad69bb9869,a27b7048c11250235614646b4f657a85,31265889a35af05c81c88216df5cbc4e,700c6e0244698c085d351ac3ae59ae14
1,1,2018-09-06,2018-09-06,False,Kielce,25323,Kielce,25323,0a53fc42d87cffb5bbc8a71f8ecee34a,0aa16241691e40761e8bf6c9ba689573,59a6b2329b2b2b5d077915647952349b,d956bdffd71193bd51290317a6007749,058981cc6f32cdd7fdffd9b3e76a6656
1,1,2018-08-27,2018-08-27,True,Kraków (Kraków-Śródmieście),31138,Kraków (Kraków-Śródmieście),30127,87894e8dff5cae3c919a404e9c3dfee6,f703cee04caf617335fb3e9050c30e83,603a6b78a1dca9c812c129ed66304cb6,b51e71e8d83e41e8f1e8791020d9df1f,98302aa0b614b1d8b1cbf435c5d6c814
1,1,2018-08-27,2018-08-27,True,Lublin,20022,Lublin,20022,057e2d4e79e19a4f28501b04529d41b8,cbab4259318cf72e3edb552f40213e0d,61dba87de6aa6de2b63ad3365e1e8882,582c246f04fab8b796065734a2476b7e,22f67a3adf2e5d37446c7371121b7854
1,1,2018-08-27,2018-08-27,True,Goleniów,72100,Goleniów,72100,c3315be6f745dd6379a33957ed27a416,b6ca2fbec8910a5e2db568256a790bec,f41b71212fcf32d101a179bc9258aaf9,cbbc644954b7899b75a08464dc45d901,a475a5aa1a3006b8cd5a000b83616de0
1,1,2018-08-27,2018-08-27,True,Nowy Sącz,33300,Nowy Sącz,33300,5195c9b65d73fd1eee28ac7e7fdccc17,62278253e1d18e5e2249cc2b7439effa,78de13d3d0f7c768851a040024076cf1,a6021284a32a08b55f4671a2df41d752,75548efac383b98db36a25223fc7a0ae
1,1,2018-08-27,2018-08-27,True,Konin,62510,Konin,62510,862cad9c373475f4f9dfc5a3808cf6ef,549273621a19477a406c82d2e1924be8,8e88edf6ae1668c2f4577f31a1f3d9b6,bf51c83447027807c4230234a19e63c5,1c8b03a20e319af7a904345d342e0647
1,1,2018-08-27,2018-08-27,True,Rybnik,44207,RYBNIK,44200,e972b73d207ecbcb7581547b323ed2f2,5e0938f5cca6e2fde5659b2338f83747,9b1447f17006b29036ecec64b6a51b0c,13f6997fb1872fed9e33bb80844154df,9230b96eb7fdeb2402b2b23e0246a3cd
1,1,2018-08-27,2018-08-27,True,Warszawa (Białołęka),03289,Warszawa (Białołęka),03289,952f66fa21f36e5ec7e22a2c3c3f08d6,aadb6286aa7c92af01607952dfecc7a3,884fc5aa6d322336678d36fd24eeb30e,853f495ef9a4da43ce42335bb1fff885,29e23627238d3a9437eda2f9f286ea90
1,1,2018-08-27,2018-08-27,False,Rogów,95063,Rogów,95063,3b8c6ed57fa1c17d0c569c3c78d2030c,9cf632ed7094bd7be87e43a2153f4b6d,a2c1fb38f90ab3f67839f40cc63523c1,1bd1fb1fb04e73706508d4be90c842d8,f091c23980399259618d45c2dc964da4
1,1,2018-08-27,2018-08-27,True,Gdynia,81127,Gdynia,81127,55a63771c5cb870638790425babdba59,f906cf6e5f50f4be8d90845eb4be1dbb,9f43769588b5236d380bd04e20b68440,788f367d7bbba94e98795900eae53984,f5d9fa50d7fbd59ecb1ad91bde354d7f
1,1,2018-08-28,2018-08-28,False,Warszawa (Wola),00871,Warszawa (Wola),00871,151a69a691de2577cb9411cff1839011,9498e4c1439caeed56772cfbb9d00db2,5d0ba46e8d3a5d169708d13a43d6a7f9,c528d8da00cfce573e62b882bfb308ef,08b50599aa00f7887863914cb4606f75
1,1,2018-08-28,2018-08-28,True,Warszawa (Wilanów),02954,Warszawa (Wilanów),02954,263bea5186abcc69bb1848ac5404eefe,d72f003de5e5717d6f340aaed71bf9c7,c8540aaa111467ea3c8c242aa95d4808,93ec30fa8c66a85ac1b56feef8442484,41ecffa12c8081dfb6b06368501cdc56
1,1,2018-08-28,2018-08-28,True,Bolesławice,76251,Bolesławice,76251,d4c5874818cc38ed317944464163cad4,dce0b71867da59b2abfe6a2b65f9603e,6203ebcc9ea932c75bda60eecd17a1a0,5e01401845cf80f4bd0222c38ab305b2,277791779572dd2827355a990f1afe84
1,1,2018-08-28,2018-08-28,True,Łódź (Łódź-Śródmieście),90442,Łódź (Łódź-Śródmieście),90442,8bf41098a7fe0f79fef0ddff1f7a96d6,510e53482ebffa1cc620c7f476927643,114795f4df37ecb14395d0b27d94bd37,b30acb12ad56a9f6e8e5c2a2824d8ca7,ec46abeb45cad53d7cf9ccc6648dba38
1,1,2018-08-28,2018-08-28,False,Nysa,48303,Nysa,48303,939bb443a395a8fbf5478a66c9865551,0137dce29822aadc843260523307bc92,0b284cc05a6fb7249983b8c4a6b95d09,c4a5490062037aa941ed2624884016c6,bddee5b3c6ab9555735edc93f837b349
1,1,2018-08-28,2018-08-28,True,Mysłowice,41400,Mysłowice,41400,d7bb79ba60d636aceb88259f699bcdf5,f79a95efe8bbe2b8060fff56dbe00e9e,8650a795846e8d5fca7f78e4791887a3,899f2b4b06e03bb74c13fd8de0060402,fe300dd22a155439f319a232ef9850c3
