PartnerId,Status,ModifiedDate,CreatedDate,Device,Application,InstalledDate,DeinstalledDate,Connectiv,DCC,ZWROT,PREAUTOR,UNIEWAZ,CASHBACK_A,CONTACTLES,CZASRT,DOWNLOAD,TPWOB,anon_Eid,anon_ParentEid,anon_Name,anon_Logo
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX680,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0020,0020,0,87a63dc1e0ef03aa8f1ccbc43acef87e,8b4b9ca65dacd46714b55f74b12a4303,30480bbda4b967889299fdaadc63cb49,899861f6d7e41aeea4892015c2ac945a
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,Y,1,0,1,0,1,0000,0000,0,577fa823ef2db7ee587e0fd74b6f5166,8e4ed7ac4db8777286a7615177a54bd1,d8b1cd4500aa57fa59e0366e797f7453,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,2215,2215,0,a2737a89e9e65fa7dbda7f6d1acfb1ea,99ef5fdc0272eafb8fb3d5643f570430,04760bc1397083efc07a36d5a9dbde1e,bb5c85f08867409e60ddfe340444066d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,2215,2215,0,888bbfe971942afd64d87177430da368,ad11dbdd11076238f80888c7744183eb,04760bc1397083efc07a36d5a9dbde1e,bb5c85f08867409e60ddfe340444066d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX680,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0500,0500,0,3083a9530ef5243e76e7e9d34f5e5bb3,6996a719865e8aa40e44ec47416540d6,6998c91eeea3f8640ca3b2d9dd955256,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,Vx510G,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,0500,0500,0,8ec089573584362676702424127e96fc,cd6faf5a0a825d685196b5d9d35fd13d,1826701fbd321e2dc5fcc1c961e2cd32,242be10812b73ea3b2894dba311f738d
6,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,0411,1500,0,34b92e6e356abc135d8e34f58b7e5ea2,71f451a0ce0c345637a0387a7714eb9d,69776584a8e7ef7d9013de0d28b830be,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0630,0630,0,f69d73082ad1cd85e1015932ac3be8b3,9f39f3dc954ef3f612cea7a345a2cdff,22ac0ecc72a3652a1a29af9846b91e8a,242be10812b73ea3b2894dba311f738d
12,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,2240,2320,0,7aad29dbda133522652612ef51a388a9,9eb6a9f9cdc2a8d771171eaeecbef681,33d9afd1fc259008383b4b30882b6717,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,N,1,0,1,0,1,0600,0600,0,d45a66b1f04b363ee19fea2328381718,6c6effe003116bf41b40c09195795eda,e887054d42c8daa423474a093ac5d760,242be10812b73ea3b2894dba311f738d
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,ICT220,PKOEMV,2018-11-02,2018-11-02,TCPIP,N,1,0,1,0,1,0900,0900,0,c59790a3d8f44c61f94a296fdfc76cab,2ad5019b68c87e02fdb8661d9c2206b7,0b45f5d0a8fcc660de8ef82033a9bd12,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX680,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,2250,0310,0,c3ab954c6548a2d9f39b772bcd8d853d,b9162cb0397b8ffa09bd8555ed77d7be,5fc09f9efbf7fae8db7bfe60e59a5b50,242be10812b73ea3b2894dba311f738d
1,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,2010,2010,0,cdb3048a991f0223f8e577a1e0d16318,7c4b1fc5db821c04b4ecb77976baa163,649eda6b3a99f8b83b8f6224a6f842c4,7819f4ed3f78c4dffe86985eb336b97f
1,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,IWL220,PKOEMV,2018-11-02,2018-11-02,GPRS,N,1,0,1,0,1,1850,1850,0,58feeb2edfdc11e9bc7b0d31ac9054e5,79f14407b2900fc5ad9a55b8e73c2917,6545496836cd6774bcfd11b8cc467b48,242be10812b73ea3b2894dba311f738d
1,1,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,2330,2330,0,8df5ada21a3ad26fec57db8ba1c443a4,b9b9c8cf7614909d2dbfd7caf357b1f0,ac4ae6144db9336f7be5fd595584a04c,900493759985bc5cacdcc0bc1046ddc8
2,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,N,0,0,1,0,1,0020,0020,0,13ef246495f790b644053f8cedb8e154,21421483dca238a3816b4c0f818a4547,5f2cbceade4b694a8823fe718cb84ace,242be10812b73ea3b2894dba311f738d
6,3,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX675,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,0,0,0,0,1,0445,0445,0,4e0a1331b728bdf9754c0bc092f6286a,817c92ec50a0ebcfb9e402c47709d429,3c5e7c98e2ab04797274e5dfe5f81fd3,242be10812b73ea3b2894dba311f738d
12,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,Vx510G,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,2,1,2330,0001,0,e42efe43d758ee04a49be64e54b770fa,e75dc0c509c6cfbf20d089be06954499,82ac4e9f4f4783d09508028d471f3dfa,242be10812b73ea3b2894dba311f738d
6,2,2018-11-02 20:00:00.000,2018-11-02 20:00:00.000,VX520,PKOEMV,2018-11-02,2018-11-02,GPRS,Y,1,0,1,0,1,0300,0325,0,667094a5df0c66b99a32db82d86fe66d,fdd2a18a2a33687f263ba1d97699575d,91f17f4fe7fb28ba0f2a64e4a8fe3fb9,1629613aac50382abb47184f869ba77b
