MCC_Code,MCC_VISA_report_name
3759,Hotels
3760,Hotels
3761,Hotels
3762,Hotels
3763,Hotels
3764,Hotels
3765,Hotels
3766,Hotels
3767,Hotels
3768,Hotels
3769,Hotels
3770,Hotels
3771,Hotels
3772,Hotels
3773,Hotels
3774,Hotels
3775,Hotels
3776,Hotels
3777,Hotels
3778,Hotels
3779,Hotels
3780,Hotels
3781,Hotels
3782,Hotels
3783,Hotels
3784,Hotels
3785,Hotels
3786,Hotels
3787,Hotels
3788,Hotels
3789,Hotels
3790,Hotels
3791,Hotels
3792,Hotels
3793,Hotels
3794,Hotels
3795,Hotels
3796,Hotels
3797,Hotels
3798,Hotels
3799,Hotels
3800,Hotels
3801,Hotels
3807,Hotels
3808,Hotels
3811,Hotels
3812,Hotels
3813,Hotels
3814,Hotels
3815,Hotels
3818,Hotels
3819,Hotels
3820,Hotels
3821,Hotels
3823,Hotels
3824,Hotels
3825,Hotels
3827,Hotels
3828,Hotels
3829,Hotels
4011,Travel
4111,Travel
4112,Airlines
4119,Health
4121,Travel
4131,Travel
4214,Travel
4215,Business & Personal Services
4225,Business & Personal Services
4411,Hotels
4457,Travel
4468,Travel
4511,Airlines
4582,Travel
4722,Travel
4723,Travel
4784,Travel
4789,Travel
4812,Telecommunications
4814,Telecommunications
4816,Telecommunications
4821,Telecommunications
4829,Financial Services
4899,Telecommunications
4900,Utilities
5013,Motoring
5021,Wholesale
5039,Wholesale
5044,General Retail & High Street
5045,General Retail & High Street
5046,Wholesale
5047,Health
5051,Wholesale
5065,Wholesale
5072,Building Materials & Services
5074,Wholesale
5085,Wholesale
5094,General Retail & High Street
5099,General Retail & High Street
5111,General Retail & High Street
5122,General Retail & High Street
5131,General Retail & High Street
5137,Business & Personal Services
5139,Business & Personal Services
5169,Building Materials & Services
5172,Petrol
5192,General Retail & High Street
5193,Wholesale
5198,Building Materials & Services
5199,General Retail & High Street
5200,Building Materials & Services
5211,Building Materials & Services
5231,Building Materials & Services
5251,Building Materials & Services
5261,Building Materials & Services
5271,General Retail & High Street
5300,Wholesale
5309,Travel
5310,General Retail & High Street
5311,Department Stores
5331,General Retail & High Street
5399,General Retail & High Street
5411,Supermarket
5422,Food & Drink
5441,Food & Drink
5451,Food & Drink
5462,Food & Drink
5499,Food & Drink
5511,Motoring
5521,Motoring
5532,Motoring
5533,Motoring
5541,Petrol
5542,Petrol
5551,Motoring
5561,Motoring
5571,Motoring
5592,Motoring
5598,Motoring
5599,Motoring
5611,Clothing
5621,Clothing
5631,Clothing
5641,Clothing
5651,Clothing
5655,Clothing
5661,Clothing
5681,Clothing
5691,Clothing
5697,Clothing
5698,Clothing
5699,Clothing
5712,Building Materials & Services
5713,Building Materials & Services
5714,Wholesale
5718,Building Materials & Services
5719,Wholesale
5722,Wholesale
5732,Wholesale
5733,General Retail & High Street
5734,General Retail & High Street
5735,General Retail & High Street
5811,Entertainment
5812,Restaurants
5812t,NA
5813,Restaurants
5814,Restaurants
5912,Health
5921,Food & Drink
5931,Wholesale
5932,Wholesale
5933,Wholesale
5935,Building Materials & Services
5937,Wholesale
5940,Wholesale
5941,General Retail & High Street
5942,General Retail & High Street
5943,General Retail & High Street
5944,General Retail & High Street
5945,General Retail & High Street
5946,General Retail & High Street
5947,General Retail & High Street
5948,General Retail & High Street
5949,Clothing
5950,General Retail & High Street
5960,Financial Services
5962,Home catalogue
5963,Home catalogue
5964,Home catalogue
5965,Home catalogue
5966,Home catalogue
5967,Home catalogue
5968,Recurring trans (MCC5968)
5969,Home catalogue
5969b,NA
5969h,NA
5969n,NA
5969u,NA
5969w,NA
5970,General Retail & High Street
5971,General Retail & High Street
5972,Wholesale
5973,Wholesale
5975,Health
5976,Health
5977,General Retail & High Street
5978,General Retail & High Street
5983,Utilities
5992,General Retail & High Street
5993,General Retail & High Street
5994,General Retail & High Street
5995,Wholesale
5996,Wholesale
5997,General Retail & High Street
5998,Wholesale
5999,General Retail & High Street
6010,Manual Cash
6011,ATM Cash
6012,Financial Services
6051,Financial Services
6211,Financial Services
6300,Financial Services
6513,Business & Personal Services
7011,Hotels
7011t,NA
7012,Travel
7032,Entertainment
7033,Entertainment
7210,Services
7211,Services
7216,Services
7217,Services
7221,Services
7230,Services
7251,Services
7261,Services
7273,Services
7276,Business & Personal Services
7277,Services
7278,Services
7296,Wholesale
7297,Services
7298,Services
7299,Services
7311,Business & Personal Services
7321,Business & Personal Services
7333,Business & Personal Services
7338,Business & Personal Services
7339,Business & Personal Services
7342,Building Materials & Services
7349,Building Materials & Services
7361,Business & Personal Services
7372,Business & Personal Services
7375,Business & Personal Services
7379,Business & Personal Services
7392,Business & Personal Services
7393,Services
7394,Business & Personal Services
7395,Business & Personal Services
7399,Business & Personal Services
7512,Vehicle Hire
7513,Vehicle Hire
7519,Vehicle Hire
7523,Motoring
7531,Motoring
7534,Motoring
7535,Motoring
7538,Motoring
7542,Motoring
7549,Motoring
7622,Services
7623,Building Materials & Services
7629,Services
7631,Services
7641,Services
7692,Building Materials & Services
7699,Services
7829,Entertainment
7832,Entertainment
7841,Entertainment
7911,Entertainment
7922,Entertainment
7929,Entertainment
7932,Entertainment
7933,Entertainment
7941,Entertainment
7991,Entertainment
7992,Entertainment
7993,Entertainment
7994,Entertainment
7995,Entertainment
7996,Entertainment
7997,Entertainment
7998,Entertainment
7999,Entertainment
8011,Health
8021,Health
8031,Health
8041,Health
8042,Health
8043,Health
8049,Health
8050,Health
8062,Health
8071,Health
8099,Health
8111,Business & Personal Services
8211,Training & Education
8220,Training & Education
8241,Training & Education
8244,Training & Education
8249,Training & Education
8299,Training & Education
8351,Business & Personal Services
8398,Organisations & Statuatory Bodies
8641,Organisations & Statuatory Bodies
8651,Organisations & Statuatory Bodies
8661,Organisations & Statuatory Bodies
8675,Motoring
8699,Organisations & Statuatory Bodies
8734,Business & Personal Services
8911,Business & Personal Services
8931,Business & Personal Services
8999,Business & Personal Services
9211,Organisations & Statuatory Bodies
9222,Organisations & Statuatory Bodies
9223,Organisations & Statuatory Bodies
9311,Organisations & Statuatory Bodies
9399,Organisations & Statuatory Bodies
9402,Organisations & Statuatory Bodies
9405,Organisations & Statuatory Bodies
9950,Business & Personal Services
