Segment,KodKraju,Miasto,KodPocztowy,anon_NrKarty,anon_Nazwa,anon_IdKlienta,anon_Plec,anon_DataUr
01,PL,WARSZAWA,01-120,12cdacb3cbc14a2f6d7f67c86ca64bb1,ee0d6cd65239d908002206e0b2bc4e23,c30e5c902791c57b2fd326824c6b81a2,K,1951-07-05 00:00:00.000
01,PL,PILAWA,08-440,5fc0013f525fdfb00f5fb9c5f1918dd1,2311f1bce2cb654c1a9c70e0244d5f4c,3931d88098cee53b579a2bdb89ec7934,K,1967-03-13 00:00:00.000
01,PL,PIASECZNO,05-500,8c0d91ff3e86ab695484500ed67e6b4e,475dc2b99c04314f7914339d1cd46293,7c732e96b5f4357ed11220996b08b39c,K,1990-07-01 00:00:00.000
01,PL,ŁOWICZ,99-400,e4eac971ccfd19c86395d4df8b052d39,9ea603907044b3b697cdd1b74713ddea,840ef99657d377d08d75329ba98d2ba1,K,1958-04-08 00:00:00.000
01,PL,ŁYSZKOWICE,99-420,2fc146410054f28e6aa98952d5438863,8539adef300b6746a1047989392ac444,fb4229a03ca1aa1152b07e2f18287981,K,1953-08-15 00:00:00.000
01,PL,CHĄŚNO,99-413,8bb169948ee2204db5d6c2ac7cc83d02,18285b0d3d8cc8da6be9746ce79c77af,f8be6e84e4c2fc7cbd00e85b5dcede34,K,1989-08-23 00:00:00.000
03,PL,ŁOWICZ,99-400,c68c32e5f0c4d844b93a647d96035f90,a1b2569081267e3e26219c9d4ccbd33e,a8293b989b6b7344e59f8e2a7e6659ef,K,1974-10-27 00:00:00.000
03,PL,ŁYSZKOWICE,99-420,b61acfdbf98ac10517ec5f91bc39dfb3,de19fb37644007bfef4a4e65889876e1,15356a50006ecb80e1cee6c879f3c03f,K,1962-12-10 00:00:00.000
01,PL,NIEBORÓW,99-416,7eeed16943f1fd36fb43133575d1e6d2,2dd046093696ba97ac8d0bb4d1ae670d,3f18443aec21e423c2116ca16c5c72d0,K,1956-08-25 00:00:00.000
01,PL,ŁOWICZ,99-400,14ba6e4db8248a2473712e36714158f4,ef08cde7cd8851d5336b3dcc88050f4c,ad4d632922cab10bcb83240dd5301908,K,1985-09-01 00:00:00.000
01,PL,ŁOWICZ,99-400,5e773372d7c65a020b4a6c89d6260b15,2caf48153c251e950a17d0f0dd71c942,db31acdcd927c4cac68ef68a8cc51793,K,1952-01-26 00:00:00.000
01,PL,CHĄŚNO,99-413,32aa9524cc07813ecd149003956e6f30,a39aa0f1b2b933541543e4e35d4fa131,9ee022c53aa9d696d657b8b4864db67a,K,1991-04-08 00:00:00.000
01,PL,SKIERNIEWICE,96-100,96fa1ff85e75b7988239e321a2159a91,a9ffee6f328b1310068d3205676d6431,7d2dd626d6c0de04abd6a256bcc7f4d1,K,1950-04-24 00:00:00.000
01,PL,ŁOWICZ,99-400,212c9e7fe4f16dde6a76974f8ccc7aba,ce5cf3fca5d383b9c75114c3d32da4fc,ab46ff1a68a33c575f26d28b95d0aa60,K,1946-10-05 00:00:00.000
01,PL,ŁOWICZ,99-400,e2f0be88adcbec80d9fcee6365f55a1e,74a8bf574824eb32cdabd513394d9eed,c61983381060bc4f6e96a315967bb187,K,1988-10-10 00:00:00.000
01,PL,ŁOWICZ,99-400,86b1a040ece5f3eae2fa5324de8769fc,b17be1e6b513add484527d6dbe0ff696,5c4d0d03506c120aa5972838a03bb510,K,1949-01-02 00:00:00.000
01,PL,LUBLIN,20-827,ed81c75af9cf7b0ef555c5925203e606,bc5c69902d6a0fa0b90c1513c87f9253,65915c6a73e59f0b8619146b46309a76,M,1953-04-23 00:00:00.000
01,PL,ŚWIDNIK,21-040,3de8fa16fd3a5642886fc21cc6cd29a4,11bc13d493e11ca5c5f1d7ef0c8f0528,170d210d030712e556cd74b90c2c49ce,M,1995-03-18 00:00:00.000
01,PL,LUBLIN,20-492,d8988dcd3bfc3711a12b16fd319514e1,2cbfac36558ed103945052c3ea4d211c,5954a0518dd115b7d25847793b3f3667,M,1947-02-16 00:00:00.000
01,PL,LUBLIN,20-244,4f20fa786182f9f96e820cb4deead610,49cc1f16bb5f36fa903675d0f0e171b2,c233925ad60b1cd3605be658f3aa5081,M,1946-11-19 00:00:00.000
01,PL,LUBLIN,20-838,db572d160741fcfe0b4dc4e2cb768fa9,68a060374325d7424ea2265770920c82,bf30fc93311a9c4b3e55e6c5703fc736,M,1958-02-18 00:00:00.000
01,PL,STASZÓW,28-200,3176b2172a44d0caad56efb7b8a2c02d,40a4d1edfc54cd45db875fec39545969,a972c8989333d5aa3873df43eae6db6d,M,1959-04-18 00:00:00.000
